id,createdAt,updatedAt,title,tldr,description,creatorId,votecount,comments
9,2022-08-02T12:54:42.371Z,2022-08-02T12:54:42.371Z,"The delegation mechanism must ...","We need the delegation mechani...","Members choose recognized indi...",0x9e0e9D25a5ED9bc773f91691f0b45599255257B1,481,2
7,2022-08-02T11:53:13.314Z,2022-08-02T11:53:13.314Z,"Grant for future Idea Board de...","The Idea Board was initially f...","If you're interesting in contr...",0x565B93a15d38aCD79c120b15432D21E21eD274d6,430,18
27,2022-08-11T13:06:15.721Z,2022-08-11T13:06:15.722Z,"Buy more Nouns...","Buy more Nouns...","Buy more Nouns...",0x4754b7e3DEde42D71d6c92978f25F306176EC7e9,406,8
37,2022-08-20T23:47:24.616Z,2022-08-20T23:47:24.617Z,"Implement Reserve Price....","Implement Reserve Price....","Open to ideas and comments. ...",0x31B6470f3FAE7e488DA60b5fB9713A9a41286250,362,3
21,2022-08-07T21:33:06.679Z,2022-08-07T21:33:06.679Z,"delegation onboarding experien...","when someone wins an auction t...","take a look at https://app.opt...",0x13eEf4EF8FCa471f242ab0F8F49A3dB6017aDA33,323,2
33,2022-08-18T06:34:38.569Z,2022-08-18T06:34:38.570Z,"Noun Lottery...","Let's randomly select one Lil ...","'Lil Nouns DAO aims at exposin...",0x8e71C9644898665a91E4dB3Dee8bDde97b3C71BC,259,5
18,2022-08-04T04:05:55.137Z,2022-08-04T04:05:55.138Z,"A curated list and records of ...","The community should be able t...","As a new member in the past we...",0x9e0e9D25a5ED9bc773f91691f0b45599255257B1,256,0
30,2022-08-15T13:06:47.225Z,2022-08-15T13:06:47.226Z,"Less charitable ideas, more va...","Are you a builder? Build somet...","I'm not against charity work, ...",0x9e0e9D25a5ED9bc773f91691f0b45599255257B1,224,1
19,2022-08-04T17:46:33.903Z,2022-08-04T17:46:33.904Z,"Lil Nouns ID; Profile and hist...","Aggregate on-chain and market ...","I'm working on a small project...",0x9e0e9D25a5ED9bc773f91691f0b45599255257B1,222,10
12,2022-08-02T14:36:46.029Z,2022-08-02T14:36:46.029Z,"Nouns101: An Onboarding Experi...","Nouns101 intro course: A lil i...","Hi all! - Adding an idea that ...",0xFC538FFD2923ddDaED09c8aD1a51686275C56183,210,4
