id,status,createdTimestamp,forVotes,againstVotes,abstainVotes,executionETA,proposalThreshold,values,description
40,CANCELLED,1661809485,0,0,0,null,5,25000000000000000000,"# Lil Nouns @ SXSW 2023 (March..."
39,PENDING,1661808202,0,0,0,null,5,100000000000000000000,"# Lil Funding Season 4TLDR: ..."
38,QUEUED,1661391445,689,52,14,1662046683,5,0,"# Update setReservePrice to 0...."
37,CANCELLED,1661386843,0,0,0,null,5,0,"# Update setReservePrice to 0...."
36,QUEUED,1661381819,535,2,1,1662046392,5,7500000000000000000,"# Lil Nouns Mini Basketball Pr..."
35,ACTIVE,1661052498,110,59,121,null,5,10000000000000000000,"# 3D Lil Nouns Generator MVP..."
34,ACTIVE,1660281863,114,390,0,null,4,42000000000000000000,"# 3D Lil Nouns Generator![3..."
33,ACTIVE,1659838304,17,182,1,null,4,15000000000000000000,"# Merchandise Proposal Art Bas..."
32,ACTIVE,1658984716,45,316,2,null,3,24892300000000000000,"# A proposal to distribute dif..."
31,ACTIVE,1658503070,13,325,9,null,3,28000000000000000000,"# Animated Lil Nouns Introduct..."
30,EXECUTED,1658444343,761,1,0,null,3,38000000000000000000,"# Lil Sisters Fund## tl;dr..."
29,EXECUTED,1658369927,704,6,3,null,3,100000000000000000000,"# Re Fund Lil Grants Wallet wi..."
28,EXECUTED,1657645304,544,0,0,null,3,50000000000000000000,"# Fund Lil Nouns Prop Houset..."
27,EXECUTED,1657201753,624,36,0,null,2,106000000000000000000,"# Buy Noun 184(fixed typo th..."
26,CANCELLED,1656943994,201,67,0,null,2,106000000000000000000,"# Buy Noun 184Noun 184 has b..."
25,EXECUTED,1656880491,558,0,0,null,2,0,"# Delegate Nouns token to Leag..."
24,EXECUTED,1656861271,281,0,0,null,2,48000000000000000000,"# Seed Liquidity for Lil Nouns..."
23,EXECUTED,1656551471,298,0,0,null,2,30600000000000000000,"# Refund max-power.eth 30.6 ac..."
22,EXECUTED,1656388232,549,0,0,null,2,50000000000000000000,"# Lil Grants Season 2TLDR: R..."
21,EXECUTED,1656385869,466,17,22,null,2,99000000000000000000,"# Buy Noun 235## **Buy Noun ..."
20,ACTIVE,1655422995,0,16,0,null,2,55000000000000000000,"# atareh.eth as Chief content ..."
19,EXECUTED,1655412061,290,5,0,null,2,107264000000000000000,"# Buy Noun 264# Buy Noun 264..."
18,EXECUTED,1655033443,350,0,0,null,1,2000000000000000000,"# Acquire ENS Domain -- LilNou..."
17,EXECUTED,1655032456,388,1,0,null,1,102000000000000000000,"# Buy Noun 102## **Buy Noun ..."
16,EXECUTED,1654708614,211,4,0,null,1,20000000000000000000,"# 3,000 Water Purification Edu..."
15,EXECUTED,1654484623,334,19,0,null,1,50000000000000000000,"# Residency for lilal409Hey ..."
14,ACTIVE,1654440835,47,128,8,null,1,0,"# Lil Dot for Nouns DAO repres..."
13,EXECUTED,1654382500,165,0,26,null,1,26000000000000000000,"# Retroactive Funding and Lil ..."
12,CANCELLED,1654271664,0,0,0,null,1,0,"# delegate Nouns voting power ..."
11,CANCELLED,1654268805,7,14,0,null,1,0,"# Change Quorum requirement fr..."
10,EXECUTED,1654030524,189,0,0,null,1,69420000000000000000,"# Buy Noun #253 from Nouns DAO..."
9,CANCELLED,1653701934,0,0,0,null,11,69420000000000000000,"# Buy Noun #253 from Nouns DAO..."
8,EXECUTED,1653459875,126,0,0,null,10,5000000000000000000,"# Refund Emergency Hosting Cos..."
7,ACTIVE,1653418395,40,44,0,null,9,1800000000000000000,"# Partial ‘Fat Finger’ Refund..."
6,EXECUTED,1653238827,127,3,3,null,8,0,"# Set Voting Delay and Voting ..."
5,EXECUTED,1653102293,106,0,0,null,6,15000000000000000000,"# Fund Lil Nouns Prop HouseP..."
4,EXECUTED,1653080732,117,0,13,null,6,86000000000000000000,"# Purchase Steak Noun #287 for..."
3,ACTIVE,1653080582,61,0,0,null,6,0,"# Acquire Noun at marketAs b..."
2,EXECUTED,1652820138,145,22,0,null,3,0,"# Lower on-chain proposal thre..."
1,CANCELLED,1652316384,0,0,0,null,0,1000000000000000000,"# Create a mysterious server f..."
